Tipo,Color,Area,X0,Y0,X1,Y1
Bottle Cap,Blue,7.31247930996432,19.32, 1.80, 5.68,11.99
Bottle Cap,Blue,7.31247930996432, 9.48, 8.95, 3.04,17.94
Bottle Cap,Purple,7.31247930996432,12.83,19.01,15.79, 9.27
Bottle Cap,Yellow,7.30731755986317,18.94,27.53,17.39,28.04
Bottle Cap,Yellow,7.31247930996432,17.59,21.77, 7.01,22.39
Lentil,Green,0.816990335454445, 7.25,27.35,20.46, 5.46
Lentil,Green,0.816990335454445, 4.50,28.32,13.98,14.35
Lentil,Purple,0.736409681097583,17.77,18.57, 1.68, 7.24
Lentil,Purple,0.813835932614853,19.66,18.62,11.80,12.47
Lentil,Yellow,0.814696224298378, 3.59, 9.02, 4.66,26.95
