Tipo,Color,Area,X0,Y0,Imagen
Lentil,Green,0.816990335454445, 7.25,27.35,start
Lentil,Green,0.816990335454445, 4.50,28.32,start
Bottle Cap,Blue,7.31247930996432,19.32, 1.80,start
Bottle Cap,Blue,7.31247930996432, 9.48, 8.95,start
Lentil,Yellow,0.814696224298378, 3.59, 9.02,start
Bottle Cap,Yellow,7.31247930996432,17.59,21.77,start
Bottle Cap,Yellow,7.30731755986317,18.94,27.53,start
Bottle Cap,Purple,7.31247930996432,12.83,19.01,start
Lentil,Purple,0.736409681097583,17.77,18.57,start
Lentil,Purple,0.813835932614853,19.66,18.62,start
Lentil,Green,0.816990335454445,20.46, 5.46,end
Lentil,Green,0.816990335454445,13.98,14.35,end
Bottle Cap,Blue,7.31247930996432, 5.68,11.99,end
Bottle Cap,Blue,7.31247930996432, 3.04,17.94,end
Bottle Cap,Yellow,7.31247930996432, 7.01,22.39,end
Lentil,Yellow,0.814696224298378, 4.66,26.95,end
Bottle Cap,Yellow,7.30731755986317,17.39,28.04,end
Lentil,Purple,0.736409681097583, 1.68, 7.24,end
Bottle Cap,Purple,7.31247930996432,15.79, 9.27,end
Lentil,Purple,0.813835932614853,11.80,12.47,end
